section,pdf_page,codebook_page,question_id,variable,length,label,question_text,notes,value_count
EDUCATION,649,611,QD21,EDUSKPMON,2,HOW MANY DAYS MISSED SCHOOL FROM SKIPPING,"During the past 30 days, that is since [DATEFILL], how many whole days did you miss because you skipped or ""cut"" or just didn't want to be there? Please do not include days you missed because you stayed home with a sick child or other family member.",,7
EDUCATION,650,612,QD21DKRE,EDUSKPEST,2,BEST ESTIMATE # DAYS MISSED BECAUSE SKIPPED OR CUT,What is your best estimate of the number of whole days of school you missed because you skipped or 'cut' or just didn’t want to be there during the past 30 days?,"NOTE: EDUSKPCOM is a recoded variable that incorporates data from EDUSKPMON (if respondents reported a valid number of days that they missed school in QD21) or EDUSKPEST (if respondents were asked question QD21DKRE because they answered QD21 as ""don't know"" or ""refused""). If respondents reported in QD21DKRE that they missed school on ""3 to 5 days"" or on ""6 or more days,"" then EDUSKPCOM was assigned the value at the midpoint in the range (i.e., 4 days or 18 days, respectively).",9
EDUCATION,650,612,"QD21, QD21DKRE",EDUSKPCOM,2,RC - HOW MANY DAYS MISSED SCHOOL FROM SKIPPING (COMBINED),,,5
EDUCATION,650,612,QD10D,MILTFAMLY,2,ANY IMMEDIATE FAMILY CURRENTLY IN US MILITARY,"For this question, please consider only the family members listed below, whether or not they live with you. • Your spouse • Your unmarried partner • Your mother • Your father • Your son or sons • Your daughter or daughters • Your brother or brothers • Your sister or sisters Please include only these family members, whether they are biological, step or adoptive. Are any of these family members currently serving in the United States military? Press F2 to see and hear a definition of “military.”",,6
EDUCATION,650,612,"QD10E1, QD10E2",MILTSPPAR,2,SPOUSE OR PARTNER IN MILITARY,,,7
EDUCATION,651,613,"QD10E3, QD10E4",MILTPARNT,2,FATHER OR MOTHER IN MILITARY,,,7
EDUCATION,651,613,"QD10E5, QD10E6",MILTCHLDR,2,SON OR DAUGHTER IN MILITARY,,,7
EDUCATION,651,613,"QD10E7, QD10E8",MILTSIBLN,2,SISTER OR BROTHER IN MILITARY,,,7
RECODED EDUCATION,652,614,"AGE3, EDUFULPAR, EDUSCHGRD2, EDUSCHLGO",ENRLCOLLFT2,1,RC-COLLEGE ENROLLMENT-FULL TIME,,,3
RECODED EDUCATION,652,614,"AGE3, EDUFULPAR, EDUSCHGRD2, EDUSCHLGO",ENRLCOLLST2,1,RC-COLLEGE ENROLLMENT,,,5
EMPLOYMENT,653,615,"WRK35WKUS, WRKDPSTWK, WRKDPSTYR, WRKEFFORT, WRKRSNJOB, WRKRSNNOT",WRKSTATWK2,2,WORK SITUATION IN PAST WEEK - RECODE,,,11
EMPLOYMENT,653,615,QD26,WRKDPSTWK,2,WORK AT JOB LAST WEEK,"The next questions are about working. Did you work at a job or business at any time last week? By last week, I mean the week beginning on Sunday, [STARTDATE] and ending on Saturday, [ENDDATE].",,9
EMPLOYMENT,653,615,QD27,WRKHADJOB,2,DID YOU HAVE A JOB OR BUSINESS,"Even though you did not work at any time last week, did you have a job or business?",,9
EMPLOYMENT,653,615,QD28,WRKDHRSWK2,3,HOW MANY HOURS WORKED LAST WEEK,How many hours did you work last week at all jobs or businesses?,,7
EMPLOYMENT,654,616,QD29,WRK35WKUS,2,USUALLY WORK 35 OR MORE HRS PER WEEK,Do you usually work 35 hours or more per week at all jobs or businesses?,,7
EMPLOYMENT,654,616,QD30,WRKRSNNOT,3,REASON FOR NOT WORKING AT JOB - PAST WK,Which one of these reasons best describes why you did not work last week?,,11
EMPLOYMENT,654,616,QD31,WRKRSNJOB,3,REASON FOR NOT HAVING A JOB - PAST WK,Which one of these reasons best describes why you did not have a job or business last week?,,14
EMPLOYMENT,654,616,QD32,WRKEFFORT,2,"PAST 30 DAYS, MAKE EFFORT TO FIND WORK","During the past 30 days, did you make specific efforts to find work? Include any contacts you made with anyone about a job, sending out resumes or applications, placing or answering ads. Do not include only reading job ads.",,6
EMPLOYMENT,655,617,QD33,WRKDPSTYR,2,"PAST 12 MOS, WORKED AT ANY JOB","Now, think about the past 12 months, from [DATEFILL] through today. Did you work at a job or business at any time during the past 12 months?",,8
EMPLOYMENT,655,617,QD34,WRKSELFEM,2,"PAST 12 MOS, SELF EMPLOYED",Have you been self-employed at any time during the past 12 months?,,8
EMPLOYMENT,655,617,"QD35, QD36",WRKNUMJOB2,2,"PAST 12 MOS, HOW MANY EMPLOYERS","How many different employers, including yourself, have you had in the past 12 months?",,9
EMPLOYMENT,655,617,QD37,WRKNJBPYR,2,"PAST 12 MOS, TIME WITH NO JOB","During the past 12 months, was there ever a time when you did not have at least one job or business?",,7
EMPLOYMENT,655,617,QD38,WRKNJBWKS,2,HOW MANY WKS W/O JOB IN PAST 12 MOS,In how many weeks during the past 12 months did you not have at least one job or business?,,6
EMPLOYMENT,656,618,QD39A,WRKLASTYR2,4,WHAT YEAR LAST WORKED,In what year did you last work at a job or business?,,9
EMPLOYMENT,656,618,QD40,WRKSICKMO,2,# DAYS MISSED WORK FOR INJURY/ILLNESS PAST 30 DAYS,"During the past 30 days, that is from [DATEFILL] up to and including today, how many whole days of work did you miss because you were sick or injured?",,7
EMPLOYMENT,656,618,QD41,WRKSKIPMO,2,# DAYS SKIPPED WORK PAST 30 DAYS,"During the past 30 days, that is from [DATEFILL] up to and including today, how many whole days of work did you miss because you just didn't want to be there? Please do not include days you missed because of a planned vacation or days that you stayed home with a sick child or other family member.",,7
EMPLOYMENT,656,618,QD43,WRKDRGPOL,2,WORKPLACE HAVE WRITTEN POLICY DRUG/ALCOHOL USE,"At your workplace, is there a written policy about employee use of alcohol or drugs?",,7
EMPLOYMENT,657,619,QD44,WRKDRGALB,2,"DID POLICY COVER ALCOHOL, DRUGS, OR BOTH","Does this policy cover only alcohol, only drugs, or both alcohol and drugs?",,8
EMPLOYMENT,657,619,QD45,WRKDRGEDU,2,"AT WORK, GIVEN EDUCATION ON DRUGS/ALC","At your workplace, have you ever been given any educational information regarding the use of alcohol or drugs?",,7
EMPLOYMENT,657,619,QD46,WRKDRGHLP,2,ANY ASSISTANCE PROGRAM OFFERED THROUGH WRK,"Through your workplace, is there access to any type of employee assistance program or other type of counseling program for employees who have alcohol or drug-related problems?",,7
EMPLOYMENT,657,619,QD47,WRKTSTALC,2,WORKPLACE TESTS FOR ALCOHOL USAGE,Does your workplace ever test its employees for alcohol use?,,7
EMPLOYMENT,657,619,QD48,WRKTSTDRG,2,WORKPLACE TESTS FOR DRUG USAGE,Does your workplace ever test its employees for drug use?,,7
EMPLOYMENT,658,620,QD49,WRKTSTHIR,2,TEST FOR DRUG/ALC AS HIRING PROCESS,Does your workplace test its employees for drug or alcohol use as part of the hiring process?,,7
EMPLOYMENT,658,620,QD50,WRKTSTRDM,2,TEST ON RANDOM BASIS,Does your workplace test its employees for drug or alcohol use on a random basis?,,7
EMPLOYMENT,658,620,QD51,WRKTST1ST,2,WHAT HAPPENS FIRST TIME CAUGHT,"According to the policy at your workplace, what happens to an employee the first time he or she tests positive for illicit drugs?",,10
EMPLOYMENT,658,620,QD52,WRKOKPREH,2,WOULD YOU WORK FOR EMP DOES DRUG TEST PRE-HIRE,Would you be more or less likely to want to work for an employer that tests its employees for drug use as part of the hiring process?,,8
EMPLOYMENT,658,620,QD53,WRKOKRAND,2,WOULD YOU WORK FOR EMP DOES DRUG/ALC TEST RANDOMLY,Would you be more or less likely to want to work for an employer that tests its employees for drug or alcohol use on a random basis?,,8
IMPUTED EMPLOYMENT,659,621,WRKSTATWK2,IRWRKSTAT,2,EMPLOYMENT STATUS - IMPUTATION REVISED,"The following variable, IRWRKSTAT, replaces EMPSTATY that was created from 2001 to 2014. In 2015 employment questions moved from being interviewer-administered to being self-administered through ACASI. The name changes for employment variables reflect the break in comparability.",,5
IMPUTED EMPLOYMENT,659,621,WRKSTATWK2,IIWRKSTAT,1,EMPLOYMENT STATUS - IMPUTATION INDICATOR,,,3
IMPUTED EMPLOYMENT,659,621,WRKSTATWK2,II2WRKSTAT,1,EMPLOYMENT STATUS - DETAILED IMPUTATION INDICATOR,,,4
IMPUTED EMPLOYMENT,659,621,"AGE3, IRWRKSTAT",IRWRKSTAT18,2,EMPLOYMENT STATUS 18+ - IMPUTATION REVISED,"IRWRKSTAT18 is a recode of IRWRKSTAT and AGE3. Respondents aged 12-17 are assigned a skip code, regardless of their answers to the employment status questions.",,5
IMPUTED EMPLOYMENT,659,621,"AGE3, IIWRKSTAT",IIWRKSTAT18,1,EMPLOYMENT STATUS 18+ - IMPUTATION INDICATOR,,,3
IMPUTED EMPLOYMENT,659,621,"AGE3, II2WRKSTAT",II2WRKST18,1,EMPLOYMENT STATUS 18+ - DETAILED IMPUTATION INDICATOR,,,4
